country,code,latest_year,latest_tb_cases,latest_tb_incidence,country_encoded,prev_tb_cases,prev_tb_incidence,avg_prev_tb_cases,avg_prev_tb_incidence,case_trend,incidence_trend
Cote d'Ivoire,CIV,2024,32000.0,99.0,47,32000.0,103.0,39666.666666666664,172.58333333333334,-1000.0,-4.0
Croatia,HRV,2024,260.0,6.6,48,330.0,8.4,1002.5,23.45,70.0,1.8000000000000007
Cuba,CUB,2024,1300.0,11.0,49,890.0,8.1,1101.25,9.766666666666667,40.0,0.39999999999999947
Curacao,CUW,2024,5.0,2.8,50,5.0,2.8,5.071428571428571,2.9464285714285716,0.0,0.09999999999999964
Cyprus,CYP,2024,75.0,5.5,51,96.0,7.2,70.125,6.095833333333334,-24.0,-1.4999999999999991
Czechia,CZE,2024,530.0,4.9,52,530.0,4.9,905.0,8.691666666666666,80.0,0.7000000000000002
Democratic Republic of Congo,COD,2024,412000.0,377.0,53,407000.0,385.0,353541.6666666667,489.9166666666667,5000.0,-7.0
Denmark,DNK,2024,190.0,3.2,54,210.0,3.5,425.8333333333333,7.666666666666667,-40.0,-0.7000000000000002
Djibouti,DJI,2024,5800.0,495.0,55,5500.0,477.0,9929.166666666666,1114.75,200.0,15.0
Dominica,DMA,2024,3.0,4.5,56,4.0,6.0,5.083333333333333,7.383333333333334,4.0,6.0
Dominican Republic,DOM,2024,5800.0,51.0,57,5600.0,50.0,7137.5,73.58333333333333,100.0,1.0
East Timor,TLS,2024,6900.0,496.0,58,6300.0,455.0,6859.090909090909,632.3181818181819,500.0,33.0
Ecuador,ECU,2024,12000.0,66.0,59,11000.0,59.0,9070.833333333334,60.708333333333336,2100.0,9.0
Egypt,EGY,2024,12000.0,10.0,60,12000.0,10.0,13458.333333333334,14.958333333333334,0.0,-1.0
El Salvador,SLV,2024,7300.0,116.0,61,5400.0,86.0,3170.8333333333335,51.791666666666664,2200.0,35.0
Equatorial Guinea,GNQ,2024,3800.0,199.0,62,3800.0,203.0,3175.0,258.5,100.0,-4.0
Eritrea,ERI,2024,4100.0,115.0,63,5200.0,149.0,9079.166666666666,339.2916666666667,600.0,15.0
Estonia,EST,2024,110.0,8.2,64,120.0,9.1,542.5,39.9625,-40.0,-2.9000000000000004
Eswatini,SWZ,2024,4000.0,319.0,65,4000.0,326.0,10570.833333333334,945.3333333333334,-100.0,-9.0
Ethiopia,ETH,2024,186000.0,141.0,66,184000.0,143.0,240708.33333333334,271.125,0.0,-3.0
Fiji,FJI,2024,960.0,104.0,67,660.0,72.0,493.3333333333333,54.541666666666664,-310.0,-33.0
Finland,FIN,2024,210.0,3.7,68,210.0,3.7,362.9166666666667,6.795833333333333,-10.0,-0.2999999999999998
France,FRA,2024,5200.0,7.8,69,5500.0,8.3,5979.166666666667,9.416666666666666,900.0,1.3000000000000007
French Polynesia,PYF,2024,67.0,24.0,70,54.0,19.0,101.20833333333333,38.166666666666664,-31.0,-11.0
Gabon,GAB,2024,9400.0,371.0,71,9400.0,380.0,7770.833333333333,417.7083333333333,-100.0,-10.0
Gambia,GMB,2024,3800.0,138.0,72,3800.0,142.0,3483.3333333333335,174.08333333333334,0.0,-3.0
Georgia,GEO,2024,1700.0,45.0,73,1900.0,51.0,5829.166666666667,146.875,-300.0,-6.0
